,234149.000,5549.8108N,00430.0493W,1,31,50.0,
,234150.000,5549.8108N,00430.0494W,1,31,50.0,
,234151.000,5549.8108N,00430.0493W,1,31,50.1,
,234152.000,5549.8108N,00430.0494W,1,31,50.1,
,234153.000,5549.8108N,00430.0494W,1,31,50.1,
,234154.000,5549.8108N,00430.0494W,1,31,50.1,
,234155.000,5549.8108N,00430.0494W,1,31,50.1,
,234156.000,5549.8108N,00430.0494W,1,31,50.1,
,234157.000,5549.8107N,00430.0494W,1,31,50.0,
,234158.000,5549.8107N,00430.0494W,1,31,50.0,
,234159.000,5549.8107N,00430.0494W,1,31,50.0,
,234200.000,5549.8107N,00430.0494W,1,31,49.9,
,234201.000,5549.8106N,00430.0494W,1,31,49.9,
,234202.000,5549.8106N,00430.0494W,1,31,49.9,
,234203.000,5549.8106N,00430.0493W,1,31,49.9,
,234204.000,5549.8106N,00430.0494W,1,31,49.9,
,234205.000,5549.8106N,00430.0493W,1,31,49.8,
,234206.000,5549.8105N,00430.0493W,1,31,49.9,
,234207.000,5549.8105N,00430.0493W,1,31,49.9,
,234208.000,5549.8105N,00430.0493W,1,30,49.8,
,234209.000,5549.8105N,00430.0493W,1,30,49.8,
2026-04-21T00:42:57,234210.000,5549.8105N,00430.0493W,1,30,49.7,
2026-04-21T00:42:57,234211.000,5549.8105N,00430.0493W,1,30,49.7,
2026-04-21T00:42:57,234212.000,5549.8105N,00430.0493W,1,30,49.8,
2026-04-21T00:42:57,234213.000,5549.8105N,00430.0493W,1,30,49.7,
2026-04-21T00:42:57,234214.000,5549.8105N,00430.0493W,1,30,49.6,
2026-04-21T00:42:57,234215.000,5549.8106N,00430.0492W,1,30,49.5,
2026-04-21T00:42:57,234216.000,5549.8105N,00430.0492W,1,30,49.5,
2026-04-21T00:42:57,234217.000,5549.8105N,00430.0492W,1,30,49.5,
2026-04-21T00:42:57,234218.000,5549.8105N,00430.0492W,1,30,49.4,
2026-04-21T00:42:57,234219.000,5549.8105N,00430.0492W,1,30,49.4,
2026-04-21T00:42:57,234220.000,5549.8105N,00430.0492W,1,30,49.4,
2026-04-21T00:42:57,234221.000,5549.8105N,00430.0492W,1,30,49.3,
2026-04-21T00:42:57,234222.000,5549.8105N,00430.0492W,1,30,49.3,
2026-04-21T00:42:57,234223.000,5549.8105N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234224.000,5549.8104N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234225.000,5549.8104N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234226.000,5549.8104N,00430.0492W,1,29,49.2,
2026-04-21T00:42:57,234227.000,5549.8104N,00430.0492W,1,29,49.2,
2026-04-21T00:42:57,234228.000,5549.8104N,00430.0492W,1,29,49.2,
2026-04-21T00:42:57,234229.000,5549.8104N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234230.000,5549.8104N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234231.000,5549.8104N,00430.0492W,1,30,49.2,
2026-04-21T00:42:57,234232.000,5549.8103N,00430.0491W,1,31,49.1,
2026-04-21T00:42:57,234233.000,5549.8103N,00430.0491W,1,31,49.0,
2026-04-21T00:42:57,234234.000,5549.8103N,00430.0491W,1,31,49.0,
2026-04-21T00:42:57,234235.000,5549.8103N,00430.0491W,1,31,48.9,
2026-04-21T00:42:57,234236.000,5549.8103N,00430.0491W,1,31,48.9,
2026-04-21T00:42:57,234237.000,5549.8103N,00430.0491W,1,31,48.8,
2026-04-21T00:42:57,234238.000,5549.8103N,00430.0491W,1,31,48.8,
2026-04-21T00:42:57,234239.000,5549.8102N,00430.0491W,1,31,48.8,
2026-04-21T00:42:57,234240.000,5549.8102N,00430.0491W,1,30,48.8,
2026-04-21T00:42:57,234241.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234242.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234243.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234244.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234245.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234246.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234247.000,5549.8102N,00430.0491W,1,31,48.6,
2026-04-21T00:42:57,234248.000,5549.8102N,00430.0491W,1,31,48.6,
2026-04-21T00:42:57,234249.000,5549.8102N,00430.0491W,1,31,48.6,
2026-04-21T00:42:57,234250.000,5549.8102N,00430.0491W,1,31,48.6,
2026-04-21T00:42:57,234251.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234252.000,5549.8102N,00430.0491W,1,31,48.7,
2026-04-21T00:42:57,234253.000,5549.8102N,00430.0491W,1,30,48.8,
2026-04-21T00:42:57,234254.000,5549.8102N,00430.0491W,1,30,48.8,
2026-04-21T00:42:57,234255.000,5549.8103N,00430.0491W,1,28,48.8,
2026-04-21T00:42:57,234256.000,5549.8102N,00430.0491W,1,29,48.9,
2026-04-21T00:42:57,234257.000,5549.8102N,00430.0492W,1,29,48.9,
2026-04-21T00:42:58,234258.000,5549.8102N,00430.0491W,1,29,49.0,
2026-04-21T00:42:59,234259.000,5549.8103N,00430.0492W,1,29,49.0,
2026-04-21T00:43:00,234300.000,5549.8103N,00430.0491W,1,30,49.0,
2026-04-21T00:43:01,234301.000,5549.8102N,00430.0491W,1,30,49.0,
2026-04-21T00:43:02,234302.000,5549.8102N,00430.0491W,1,30,49.0,
2026-04-21T00:43:03,234303.000,5549.8102N,00430.0491W,1,29,49.0,
2026-04-21T00:43:04,234304.000,5549.8102N,00430.0491W,1,30,49.0,
2026-04-21T00:43:05,234305.000,5549.8103N,00430.0490W,1,30,49.0,
2026-04-21T00:43:06,234306.000,5549.8103N,00430.0490W,1,30,49.0,
2026-04-21T00:43:07,234307.000,5549.8103N,00430.0490W,1,30,49.0,
2026-04-21T00:43:08,234308.000,5549.8103N,00430.0490W,1,30,49.0,
2026-04-21T00:43:09,234309.000,5549.8103N,00430.0489W,1,30,48.9,
2026-04-21T00:43:10,234310.000,5549.8103N,00430.0489W,1,30,49.0,
2026-04-21T00:43:11,234311.000,5549.8103N,00430.0489W,1,30,49.0,
2026-04-21T00:43:12,234312.000,5549.8104N,00430.0489W,1,29,48.9,
2026-04-21T00:43:13,234313.000,5549.8104N,00430.0488W,1,29,49.0,
2026-04-21T00:43:14,234314.000,5549.8103N,00430.0489W,1,29,48.9,
2026-04-21T00:43:15,234315.000,5549.8103N,00430.0488W,1,29,48.9,
2026-04-21T00:43:16,234316.000,5549.8103N,00430.0488W,1,29,48.9,
2026-04-21T00:43:17,234317.000,5549.8103N,00430.0488W,1,29,48.9,
2026-04-21T00:43:18,234318.000,5549.8103N,00430.0488W,1,28,48.9,
2026-04-21T00:43:19,234319.000,5549.8103N,00430.0488W,1,30,48.9,
2026-04-21T00:43:20,234320.000,5549.8103N,00430.0488W,1,29,48.9,
2026-04-21T00:43:21,234321.000,5549.8103N,00430.0488W,1,29,48.9,
2026-04-21T00:43:22,234322.000,5549.8103N,00430.0487W,1,29,49.0,
2026-04-21T00:43:23,234323.000,5549.8103N,00430.0487W,1,29,49.1,
2026-04-21T00:43:24,234324.000,5549.8103N,00430.0487W,1,29,49.1,
2026-04-21T00:43:25,234325.000,5549.8103N,00430.0487W,1,29,49.1,
2026-04-21T00:43:26,234326.000,5549.8103N,00430.0487W,1,29,49.1,
2026-04-21T00:43:27,234327.000,5549.8103N,00430.0487W,1,28,49.1,
2026-04-21T00:43:28,234328.000,5549.8103N,00430.0487W,1,29,49.0,
2026-04-21T00:43:29,234329.000,5549.8103N,00430.0487W,1,30,49.0,
2026-04-21T00:43:30,234330.000,5549.8103N,00430.0487W,1,30,48.9,
2026-04-21T00:43:31,234331.000,5549.8102N,00430.0487W,1,29,48.9,
2026-04-21T00:43:32,234332.000,5549.8103N,00430.0487W,1,30,48.9,
2026-04-21T00:43:33,234333.000,5549.8103N,00430.0487W,1,30,48.9,
2026-04-21T00:43:34,234334.000,5549.8103N,00430.0486W,1,29,48.9,
2026-04-21T00:43:35,234335.000,5549.8103N,00430.0486W,1,30,48.9,
2026-04-21T00:43:36,234336.000,5549.8103N,00430.0486W,1,30,48.9,
2026-04-21T00:43:37,234337.000,5549.8103N,00430.0486W,1,29,49.0,
2026-04-21T00:43:38,234338.000,5549.8103N,00430.0486W,1,30,48.9,
2026-04-21T00:43:42,234339.000,5549.8103N,00430.0486W,1,30,48.9,
2026-04-21T00:43:42,234340.000,5549.8103N,00430.0486W,1,29,48.9,
2026-04-21T00:43:42,234341.000,5549.8103N,00430.0486W,1,29,48.9,
2026-04-21T00:43:42,234342.000,5549.8103N,00430.0486W,1,27,48.9,
2026-04-21T00:43:43,234343.000,5549.8103N,00430.0486W,1,27,48.9,
2026-04-21T00:43:44,234344.000,5549.8103N,00430.0486W,1,28,48.9,
2026-04-21T00:43:45,234345.000,5549.8103N,00430.0486W,1,29,48.9,
2026-04-21T00:43:46,234346.000,5549.8103N,00430.0486W,1,29,48.9,
2026-04-21T00:45:25,234347.000,5549.8103N,00430.0486W,1,29,48.9,N/A
2026-04-21T00:45:25,234348.000,5549.8103N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234349.000,5549.8103N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234350.000,5549.8103N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234351.000,5549.8102N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234352.000,5549.8102N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234353.000,5549.8103N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234354.000,5549.8103N,00430.0486W,1,30,48.9,N/A
2026-04-21T00:45:25,234355.000,5549.8103N,00430.0487W,1,30,48.9,N/A
2026-04-21T00:45:25,234356.000,5549.8103N,00430.0487W,1,30,48.9,N/A
2026-04-21T00:45:25,234357.000,5549.8103N,00430.0487W,1,30,48.9,N/A
2026-04-21T00:45:25,234358.000,5549.8103N,00430.0487W,1,30,48.9,N/A
2026-04-21T00:45:25,234359.000,5549.8102N,00430.0487W,1,30,48.8,N/A
2026-04-21T00:45:25,234400.000,5549.8101N,00430.0487W,1,30,48.7,N/A
2026-04-21T00:45:25,234401.000,5549.8101N,00430.0487W,1,30,48.6,N/A
2026-04-21T00:45:25,234402.000,5549.8100N,00430.0487W,1,30,48.4,N/A
2026-04-21T00:45:25,234403.000,5549.8099N,00430.0486W,1,30,48.3,N/A
2026-04-21T00:45:25,234404.000,5549.8099N,00430.0486W,1,30,48.3,N/A
2026-04-21T00:45:25,234405.000,5549.8099N,00430.0485W,1,30,48.2,N/A
2026-04-21T00:45:25,234406.000,5549.8099N,00430.0485W,1,30,48.2,N/A
2026-04-21T00:45:25,234407.000,5549.8098N,00430.0485W,1,30,48.1,N/A
2026-04-21T00:45:25,234408.000,5549.8098N,00430.0484W,1,30,48.0,N/A
2026-04-21T00:45:25,234409.000,5549.8097N,00430.0484W,1,30,48.0,N/A
2026-04-21T00:45:25,234410.000,5549.8097N,00430.0484W,1,30,48.0,N/A
2026-04-21T00:45:25,234411.000,5549.8097N,00430.0484W,1,30,47.9,N/A
2026-04-21T00:45:25,234412.000,5549.8096N,00430.0484W,1,30,47.8,N/A
2026-04-21T00:45:25,234413.000,5549.8096N,00430.0484W,1,30,47.7,N/A
2026-04-21T00:45:25,234414.000,5549.8096N,00430.0484W,1,30,47.6,N/A
2026-04-21T00:45:25,234415.000,5549.8095N,00430.0484W,1,30,47.5,N/A
2026-04-21T00:45:25,234416.000,5549.8095N,00430.0484W,1,29,47.3,N/A
2026-04-21T00:45:25,234417.000,5549.8095N,00430.0484W,1,29,47.3,N/A
2026-04-21T00:45:25,234418.000,5549.8094N,00430.0484W,1,30,47.2,N/A
2026-04-21T00:45:25,234419.000,5549.8094N,00430.0484W,1,30,47.2,N/A
2026-04-21T00:45:25,234420.000,5549.8094N,00430.0484W,1,30,47.1,N/A
2026-04-21T00:45:25,234421.000,5549.8094N,00430.0483W,1,30,47.1,N/A
2026-04-21T00:45:25,234422.000,5549.8094N,00430.0483W,1,30,47.0,N/A
2026-04-21T00:45:25,234423.000,5549.8094N,00430.0483W,1,31,47.1,N/A
2026-04-21T00:45:25,234424.000,5549.8094N,00430.0483W,1,31,47.0,N/A
2026-04-21T00:45:25,234425.000,5549.8093N,00430.0483W,1,31,47.0,N/A
2026-04-21T00:45:25,234426.000,5549.8094N,00430.0483W,1,31,47.0,N/A
2026-04-21T00:45:25,234427.000,5549.8094N,00430.0483W,1,30,47.0,N/A
2026-04-21T00:45:26,234428.000,5549.8093N,00430.0483W,1,32,46.9,N/A
2026-04-21T00:45:26,234429.000,5549.8093N,00430.0483W,1,31,46.9,N/A
2026-04-21T00:45:26,234430.000,5549.8093N,00430.0483W,1,31,46.8,N/A
2026-04-21T00:45:26,234431.000,5549.8093N,00430.0483W,1,31,46.9,N/A
2026-04-21T00:45:26,234432.000,5549.8093N,00430.0483W,1,32,46.9,N/A
2026-04-21T00:45:26,234433.000,5549.8093N,00430.0483W,1,32,46.8,N/A
2026-04-21T00:45:26,234434.000,5549.8093N,00430.0483W,1,31,46.9,N/A
2026-04-21T00:45:26,234435.000,5549.8093N,00430.0483W,1,31,46.8,N/A
2026-04-21T00:45:26,234436.000,5549.8093N,00430.0483W,1,32,46.9,N/A
2026-04-21T00:45:26,234437.000,5549.8093N,00430.0483W,1,32,46.9,N/A
2026-04-21T00:45:26,234438.000,5549.8093N,00430.0484W,1,32,46.9,N/A
2026-04-21T00:45:26,234439.000,5549.8093N,00430.0484W,1,32,46.8,N/A
2026-04-21T00:45:26,234440.000,5549.8093N,00430.0484W,1,32,46.9,N/A
2026-04-21T00:45:26,234441.000,5549.8093N,00430.0484W,1,32,46.9,N/A
2026-04-21T00:45:26,234442.000,5549.8093N,00430.0484W,1,32,47.0,N/A
2026-04-21T00:45:26,234443.000,5549.8093N,00430.0484W,1,32,47.0,N/A
2026-04-21T00:45:26,234444.000,5549.8093N,00430.0484W,1,32,47.1,N/A
2026-04-21T00:45:26,234445.000,5549.8094N,00430.0484W,1,32,47.1,N/A
2026-04-21T00:45:26,234446.000,5549.8094N,00430.0484W,1,33,47.1,N/A
2026-04-21T00:45:26,234447.000,5549.8094N,00430.0484W,1,33,47.2,N/A
2026-04-21T00:45:26,234448.000,5549.8094N,00430.0484W,1,33,47.1,N/A
2026-04-21T00:45:26,234449.000,5549.8094N,00430.0484W,1,33,47.1,N/A
2026-04-21T00:45:26,234450.000,5549.8094N,00430.0484W,1,33,47.2,N/A
2026-04-21T00:45:26,234451.000,5549.8095N,00430.0484W,1,33,47.3,N/A
2026-04-21T00:45:26,234452.000,5549.8094N,00430.0484W,1,33,47.3,N/A
2026-04-21T00:45:26,234453.000,5549.8095N,00430.0484W,1,32,47.3,N/A
2026-04-21T00:45:26,234454.000,5549.8094N,00430.0484W,1,32,47.3,N/A
2026-04-21T00:45:26,234455.000,5549.8094N,00430.0485W,1,33,47.3,N/A
2026-04-21T00:45:26,234456.000,5549.8094N,00430.0485W,1,33,47.3,N/A
2026-04-21T00:45:26,234457.000,5549.8094N,00430.0484W,1,32,47.2,N/A
2026-04-21T00:45:26,234458.000,5549.8093N,00430.0484W,1,32,47.2,N/A
2026-04-21T00:45:26,234459.000,5549.8093N,00430.0484W,1,32,47.2,N/A
2026-04-21T00:45:26,234500.000,5549.8093N,00430.0484W,1,32,47.2,N/A
2026-04-21T00:45:26,234501.000,5549.8093N,00430.0484W,1,31,47.2,N/A
2026-04-21T00:45:26,234502.000,5549.8093N,00430.0484W,1,30,47.2,N/A
2026-04-21T00:45:26,234503.000,5549.8093N,00430.0484W,1,31,47.2,N/A
2026-04-21T00:45:26,234504.000,5549.8093N,00430.0484W,1,31,47.3,N/A
2026-04-21T00:45:26,234505.000,5549.8093N,00430.0484W,1,31,47.2,N/A
2026-04-21T00:45:26,234506.000,5549.8093N,00430.0484W,1,31,47.3,N/A
2026-04-21T00:45:26,234507.000,5549.8093N,00430.0484W,1,31,47.3,N/A
2026-04-21T00:45:26,234508.000,5549.8093N,00430.0484W,1,31,47.3,N/A
2026-04-21T00:45:26,234509.000,5549.8093N,00430.0484W,1,31,47.3,N/A
2026-04-21T00:45:26,234510.000,5549.8093N,00430.0484W,1,30,47.3,N/A
2026-04-21T00:45:26,234511.000,5549.8093N,00430.0484W,1,30,47.3,N/A
2026-04-21T00:45:26,234512.000,5549.8093N,00430.0483W,1,29,47.3,N/A
2026-04-21T00:45:26,234513.000,5549.8093N,00430.0483W,1,29,47.3,N/A
2026-04-21T00:45:26,234514.000,5549.8093N,00430.0483W,1,29,47.3,N/A
2026-04-21T00:45:26,234515.000,5549.8093N,00430.0483W,1,28,47.3,N/A
2026-04-21T00:45:26,234516.000,5549.8093N,00430.0483W,1,28,47.2,N/A
2026-04-21T00:45:26,234517.000,5549.8093N,00430.0483W,1,27,47.1,N/A
2026-04-21T00:45:26,234518.000,5549.8093N,00430.0483W,1,28,47.2,N/A
2026-04-21T00:45:26,234519.000,5549.8093N,00430.0483W,1,28,47.1,N/A
2026-04-21T00:45:26,234520.000,5549.8093N,00430.0483W,1,28,47.2,N/A
2026-04-21T00:45:26,234521.000,5549.8094N,00430.0483W,1,28,47.3,N/A
2026-04-21T00:45:26,234522.000,5549.8094N,00430.0483W,1,28,47.4,N/A
2026-04-21T00:45:26,234523.000,5549.8094N,00430.0483W,1,28,47.4,N/A
2026-04-21T00:45:26,234524.000,5549.8094N,00430.0483W,1,28,47.5,N/A
2026-04-21T00:45:26,234525.000,5549.8094N,00430.0483W,1,28,47.5,N/A
2026-04-21T00:45:26,234526.000,5549.8094N,00430.0483W,1,28,47.6,N/A
2026-04-21T00:45:27,234527.000,5549.8094N,00430.0482W,1,28,47.6,N/A
2026-04-21T00:45:28,234528.000,5549.8094N,00430.0482W,1,28,47.6,N/A
2026-04-21T00:45:29,234529.000,5549.8094N,00430.0482W,1,28,47.6,N/A
2026-04-21T00:45:30,234530.000,5549.8094N,00430.0482W,1,28,47.6,N/A
2026-04-21T00:45:31,234531.000,5549.8094N,00430.0482W,1,28,47.7,N/A
2026-04-21T00:45:32,234532.000,5549.8094N,00430.0482W,1,27,47.7,N/A
2026-04-21T00:45:33,234533.000,5549.8094N,00430.0482W,1,28,47.7,N/A
2026-04-21T00:45:34,234534.000,5549.8094N,00430.0482W,1,28,47.8,N/A
2026-04-21T00:45:35,234535.000,5549.8094N,00430.0483W,1,27,47.8,N/A
2026-04-21T00:45:36,234536.000,5549.8094N,00430.0483W,1,27,47.8,N/A
2026-04-21T00:45:37,234537.000,5549.8094N,00430.0483W,1,27,47.8,N/A
2026-04-21T00:45:38,234538.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:45:39,234539.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:45:40,234540.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:45:41,234541.000,5549.8094N,00430.0483W,1,26,47.8,N/A
2026-04-21T00:45:42,234542.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:45:43,234543.000,5549.8095N,00430.0482W,1,26,47.9,N/A
2026-04-21T00:45:44,234544.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:49:06,234545.000,5549.8095N,00430.0483W,1,27,47.9,N/A
2026-04-21T00:49:08,234546.000,5549.8095N,00430.0483W,1,27,47.9,N/A
2026-04-21T00:49:10,234547.000,5549.8095N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:49:12,234548.000,5549.8095N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:49:14,234549.000,5549.8094N,00430.0483W,1,26,47.9,N/A
2026-04-21T00:49:17,234550.000,5549.8094N,00430.0483W,1,27,47.9,N/A
2026-04-21T00:49:19,234551.000,5549.8094N,00430.0483W,1,27,47.9,N/A
2026-04-21T00:49:21,234552.000,5549.8095N,00430.0483W,1,27,47.9,N/A
2026-04-21T00:49:24,234559.000,5549.8096N,00430.0483W,1,28,47.9,N/A
2026-04-21T00:49:34,234600.000,5549.8096N,00430.0483W,1,28,47.9,N/A
2026-04-21T00:49:44,234601.000,5549.8096N,00430.0483W,1,28,47.9,N/A
2026-04-21T00:49:54,234602.000,5549.8096N,00430.0483W,1,29,47.9,N/A
2026-04-21T00:50:04,234603.000,5549.8096N,00430.0483W,1,29,47.9,N/A
2026-04-21T00:50:14,234604.000,5549.8096N,00430.0483W,1,29,47.9,N/A
2026-04-21T00:50:24,234605.000,5549.8095N,00430.0483W,1,29,48.0,N/A
2026-04-21T00:50:35,234606.000,5549.8095N,00430.0483W,1,29,48.0,N/A
2026-04-21T00:50:45,234607.000,5549.8095N,00430.0484W,1,28,48.0,N/A
2026-04-21T00:50:55,234608.000,5549.8095N,00430.0484W,1,28,48.0,N/A
2026-04-21T00:51:05,234609.000,5549.8095N,00430.0484W,1,28,48.0,N/A
2026-04-21T00:51:15,234610.000,5549.8095N,00430.0484W,1,29,48.0,N/A
2026-04-21T00:51:25,234611.000,5549.8095N,00430.0484W,1,29,48.1,N/A
2026-04-21T00:51:35,234612.000,5549.8095N,00430.0484W,1,29,48.2,N/A
2026-04-21T00:51:45,234613.000,5549.8095N,00430.0484W,1,28,48.2,N/A
